normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
9.27997e+06,Pablo Picasso,1881,USD,1,0,0,0,2018-05-15 00:00:00,1,oil,canvas,0,0,0.2118,1,4,3,3623,new york,20,Spaniard,M,cubism,1,migrant,�,Tuesday,5,0,0,4.58155e+06,16.0434,15.3375
2.16645e+07,Clyfford Still,1904,USD,0,0,0,0,2014-05-13 00:00:00,1,oil,canvas,0,0,5.0068,3,4,0,7882,new york,20,American,M,abstract expressionism,1,�,�,Tuesday,5,0,0,2.15985e+07,16.8912,16.8881
278719,Camille Pissarro,1830,USD,1,1,0,0,2006-03-05 00:00:00,1,oil,canvas,0,0,0.0943,0,7,2,0,new york,19,French,M,impressionism,1,�,�,Wednesday,5,0,0,253639,12.538,12.4437
3.7793e+06,Kees van Dongen,1877,USD,1,0,0,0,2009-03-11 00:00:00,1,oil,canvas,0,0,0.6724,3,3,1,3704,new york,20,Netherlander,M,fauvism,1,migrant,�,Tuesday,11,0,0,4.17085e+06,15.1451,15.2436
6.60303e+06,Claude Monet,1840,USD,1,0,1,1,2003-04-11 00:00:00,1,oil,canvas,0,0,2.0808,0,3,3,7411,new york,19,French,M,impressionism,1,�,�,Tuesday,11,0,0,4.86415e+06,15.703,15.3974
8504.31,Pierre Bonnard,1867,GBP,1,0,0,0,2003-02-12 00:00:00,0,lithograph,paper,0,0,0.1426,0,0,0,0,london,20,French,M,nabism,1,�,�,Tuesday,12,0,0,5396.12,9.04833,8.59344
119328,Pierre-Auguste Renoir,1841,EUR,0,0,0,0,2017-03-24 00:00:00,1,oil,toile,0,0,0.043,0,3,1,138,paris,19,French,M,impressionism,1,�,�,Friday,3,0,0,97657.3,11.6896,11.4892
60603.8,Maurice de Vlaminck,1876,USD,1,0,0,0,1999-10-11 00:00:00,1,oil,canvas,0,0,0.151,0,0,0,103,new york,20,French,M,fauvism,1,�,�,Wednesday,11,0,0,61391.6,11.0121,11.025
3392.79,Alberto Giacometti,1901,GBP,0,0,0,0,2001-12-18 00:00:00,1,engraving,board,0,0,0.0572,0,0,0,0,london,20,Swiss,M,expressionism,1,sculptor,�,Tuesday,12,0,1,2803.07,8.12941,7.93847
19006.7,Paul Signac,1863,USD,1,0,0,0,2003-09-25 00:00:00,1,gouache,paper,0,0,0.0438,1,3,0,364,new york,19,French,M,neo-impressionism,1,�,�,Thursday,9,0,0,20846.4,9.85255,9.94493
91224.2,Piet Mondrian,1872,GBP,1,0,0,0,2006-07-02 00:00:00,1,oil,panel,0,0,0.0616,1,4,3,0,london,20,Netherlander,M,abstractionism,1,migrant,�,Tuesday,2,0,0,82068.7,11.4211,11.3153
38439.3,Roy Lichtenstein,1923,GBP,1,0,0,0,2015-03-18 00:00:00,1,lithograph,board,0,1,0.3235,0,0,1,0,london,20,American,M,pop-art,1,�,�,Wednesday,3,0,0,20940.7,10.5568,9.94945
4.30995e+06,Franz Kline,1910,USD,0,0,0,0,2000-11-15 00:00:00,1,oil,canvas,0,0,4.0267,3,5,0,1799,new york,20,American,M,abstract expressionism,1,�,�,Wednesday,11,0,0,2.96931e+06,15.2764,14.9038
3.02412e+06,Pablo Picasso,1881,GBP,1,0,0,0,2019-06-18 00:00:00,1,oil,canvas,0,0,0.8016,5,9,1,6220,london,20,Spaniard,M,cubism,1,migrant,�,Tuesday,6,0,1,2.58852e+06,14.9221,14.7666
191766,Kees van Dongen,1877,GBP,1,0,0,0,2017-06-28 00:00:00,1,oil,canvas,0,0,0.3265,0,5,0,1354,london,20,Netherlander,M,fauvism,1,migrant,�,Wednesday,6,0,0,242982,12.164,12.4007
95863.8,Francis Bacon,1909,GBP,1,0,0,0,2014-09-17 00:00:00,1,lithograph,panel,0,1,0.2727,0,0,1,0,london,20,English,M,expressionism,1,self-taught,homosexual,Wednesday,9,0,0,25158.7,11.4707,10.133
301736,Claude Monet,1840,GBP,1,0,1,1,2016-03-02 00:00:00,1,oil,canvas,0,0,0.1491,0,5,2,0,london,19,French,M,impressionism,1,�,�,Wednesday,2,0,0,344664,12.6173,12.7503
255474,Marc Chagall,1887,USD,1,0,0,0,2007-07-11 00:00:00,1,ink,board,0,0,0.3024,0,2,0,70,new york,20,Jew,M,modernism,1,migrant,�,Wednesday,11,0,0,184953,12.4509,12.1279
